,prenom,year,nombre,parts
129,JEAN,1908,19941,4.000144431271777
130,JEAN,1909,20156,4.032926092367534
131,JEAN,1910,20710,4.07373239256539
132,JEAN,1911,20054,4.111878189658177
133,JEAN,1912,21652,4.17574703288989
134,JEAN,1913,21901,4.208598600656819
135,JEAN,1914,22088,4.315537537244175
136,JEAN,1915,14354,4.374445727799398
137,JEAN,1916,11281,4.326897260641767
138,JEAN,1917,12453,4.388475011100695
139,JEAN,1918,14546,4.471358529425326
140,JEAN,1919,16331,4.502395800594401
141,JEAN,1920,28890,4.650459009479596
142,JEAN,1921,29011,4.765643865410109
143,JEAN,1922,28523,4.89336771368918
144,JEAN,1923,29306,4.990710323886984
145,JEAN,1924,29780,5.061802259963829
146,JEAN,1925,31192,5.162853671697326
147,JEAN,1926,31529,5.2058892974550925
